#,Bit Range,Private Key Range,Private Key (HEX),Bitcoin Address,% of the Range,Solved,Solver
39,238...239-1,4000000000...7fffffffff,,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8,,,
39,238...239-1,4000000000...7fffffffff,,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8,,,
39,238...239-1,4000000000...7fffffffff,,122AJhKLEfkFBaGAd84pLp1kfE7xK3GdT8,,,
4,23...24-1,8...f,,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,,,
4,23...24-1,8...f,,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,,,
4,23...24-1,8...f,,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,,,
4,23...24-1,8...f,,1EhqbyUMvvs7BfL8goY6qcPbD6YKfPqb7e,,,
40,239...240-1,8000000000...ffffffffff,,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,,,
40,239...240-1,8000000000...ffffffffff,,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,,,
40,239...240-1,8000000000...ffffffffff,,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,,,
40,239...240-1,8000000000...ffffffffff,,1EeAxcprB2PpCnr34VfZdFrkUWuxyiNEFv,,,
41,240...241-1,10000000000...1ffffffffff,,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E,,,
41,240...241-1,10000000000...1ffffffffff,,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E,,,
41,240...241-1,10000000000...1ffffffffff,,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E,,,
41,240...241-1,10000000000...1ffffffffff,,1L5sU9qvJeuwQUdt4y1eiLmquFxKjtHr3E,,,
42,241...242-1,20000000000...3ffffffffff,,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N,,,
42,241...242-1,20000000000...3ffffffffff,,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N,,,
42,241...242-1,20000000000...3ffffffffff,,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N,,,
42,241...242-1,20000000000...3ffffffffff,,1E32GPWgDyeyQac4aJxm9HVoLrrEYPnM4N,,,
43,242...243-1,40000000000...7ffffffffff,,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1,,,
43,242...243-1,40000000000...7ffffffffff,,1PiFuqGpG8yGM5v6rNHWS3TjsG6awgEGA1,,,
